237,Murfreesboro,Tennessee,"108,755","108,767","109,240","111,327"
238,Inglewood,California,"109,673","109,673","109,765","110,464"
239,Columbia,Missouri,"108,500","108,500","108,857","110,438"
240,Waterbury,Connecticut,"110,366","110,366","110,360","110,189"
241,Manchester,New Hampshire,"109,565","109,565","109,634","109,830"
242,Miami Gardens,Florida,"107,167","107,167","107,452","109,680"
243,Elgin,Illinois,"108,188","108,188","108,395","109,104"
244,Wilmington,North Carolina,"106,476","106,476","106,785","108,297"
245,Westminster,Colorado,"106,114","106,114","106,486","107,967"
246,Rochester,Minnesota,"106,769","106,769","106,943","107,890"
247,Clearwater,Florida,"107,685","107,685","107,648","107,784"
248,Lowell,Massachusetts,"106,519","106,519","106,706","107,584"
249,Pueblo,Colorado,"106,595","106,595","106,864","107,577"
250,Arvada,Colorado,"106,433","106,433","106,627","107,541"
251,San Buenaventura (Ventura),California,"106,433","106,433","106,706","107,514"
252,Gresham,Oregon,"105,594","105,594","105,905","107,439"
253,Fargo,North Dakota,"105,549","105,549","105,884","107,349"
254,Carlsbad,California,"105,328","105,328","105,671","106,888"
255,West Covina,California,"106,098","106,098","106,188","106,870"
256,Norwalk,California,"105,549","105,549","105,639","106,309"
257,Fairfield,California,"105,321","105,323","105,524","106,126"
258,Cambridge,Massachusetts,"105,162","105,162","105,280","106,038"
259,Murrieta,California,"103,466","103,466","104,104","105,857"
260,Green Bay,Wisconsin,"104,057","104,057","104,567","105,809"
261,High Point,North Carolina,"104,371","104,371","104,627","105,753"
262,West Jordan,Utah,"103,712","103,712","104,075","105,675"
263,Billings,Montana,"104,170","104,170","104,505","105,636"
264,Richmond,California,"103,701","103,701","104,053","105,380"
265,Round Rock,Texas,"99,887","99,889","100,870","104,664"
266,Everett,Washington,"103,019","103,019","103,305","104,295"
267,Burbank,California,"103,340","103,340","103,428","104,092"
268,Antioch,California,"102,372","102,372","102,724","104,044"
269,Wichita Falls,Texas,"104,553","104,553","104,679","103,931"
270,Palm Bay,Florida,"103,190","103,190","103,278","103,227"
271,Centennial,Colorado,"100,377","100,377","100,861","102,603"
272,Temecula,California,"100,097","100,146","100,766","102,464"
273,Daly City,California,"101,123","101,123","101,286","102,362"
274,Odessa,Texas,"99,940","99,940","99,962","102,106"
275,Erie,Pennsylvania,"101,786","101,786","101,826","101,807"
276,Richardson,Texas,"99,223","99,223","99,660","101,742"
277,Pompano Beach,Florida,"99,845","99,845","100,070","101,617"
278,Flint,Michigan,"102,434","102,434","102,271","101,558"
279,South Bend,Indiana,"101,168","101,170","101,139","101,081"
280,West Palm Beach,Florida,"99,919","99,920","100,128","101,043"
281,El Cajon,California,"99,478","99,478","99,796","100,928"
282,Davenport,Iowa,"99,685","99,685","100,003","100,802"
283,Rialto,California,"99,171","99,170","99,508","100,662"
284,Santa Maria,California,"99,553","99,553","99,730","100,277"
285,Broken Arrow,Oklahoma,"98,850","98,847","99,195","100,073"
286,Kenosha,Wisconsin,"99,218","99,226","99,379","99,738"
287,North Charleston,South Carolina,"97,471","97,471","97,868","99,727"
288,Las Cruces,New Mexico,"97,618","97,618","98,200","99,665"
289,Boulder,Colorado,"97,385","97,385","97,574","98,889"
290,Lewisville,Texas,"95,290","95,290","95,944","98,737"
291,Lakeland,Florida,"97,422","97,419","97,551","98,589"
292,Tyler,Texas,"96,900","96,900","97,250","98,564"
293,San Mateo,California,"97,207","97,207","97,363","98,391"
294,Lawton,Oklahoma,"96,867","96,867","97,873","98,177"
295,Albany,New York,"97,856","97,856","97,760","97,660"
296,Compton,California,"96,455","96,455","96,537","97,156"
297,Dearborn,Michigan,"98,153","98,153","97,861","97,144"
298,Clovis,California,"95,631","95,631","95,915","96,929"
299,Sandy Springs,Georgia,"93,853","93,853","94,384","96,856"
300,Roanoke,Virginia,"97,032","97,032","96,856","96,714"
301,Livonia,Michigan,"96,942","96,942","96,658","95,958"
302,Portsmouth,Virginia,"95,535","95,535","95,627","95,684"
303,Vista,California,"93,834","93,834","94,136","95,204"
304,New Bedford,Massachusetts,"95,072","95,072","95,115","95,183"
305,College Station,Texas,"93,857","93,862","94,232","95,142"
306,South Gate,California,"94,396","94,396","94,477","95,084"
307,Greeley,Colorado,"92,889","92,889","93,395","94,962"
308,Mission Viejo,California,"93,305","93,305","93,534","94,721"
309,San Angelo,Texas,"93,200","93,200","93,562","94,544"
310,Yuma,Arizona,"93,064","93,066","93,436","94,536"
311,Brockton,Massachusetts,"93,810","93,810","93,965","94,316"
312,Davie town,Florida,"91,992","91,992","92,205","93,674"
313,Hillsboro,Oregon,"91,611","91,611","91,939","93,455"
314,Pearland,Texas,"91,252","91,252","91,695","93,305"
315,Vacaville,California,"92,428","92,428","92,593","93,088"
316,Quincy,Massachusetts,"92,271","92,271","92,445","92,909"
317,Renton,Washington,"90,927","90,995","91,278","92,812"
318,Yakima,Washington,"91,067","91,067","91,509","92,512"
319,Carson,California,"91,714","91,714","91,790","92,376"
320,Macon,Georgia,"91,351","91,346","91,416","91,856"
321,"Lee's Summit",Missouri,"91,364","91,364","91,477","91,668"
322,Beaverton,Oregon,"89,803","89,806","90,128","91,625"
323,Tuscaloosa,Alabama,"90,468","90,483","90,633","91,605"
324,Hesperia,California,"90,173","90,173","90,481","91,534"
325,Sparks,Nevada,"90,264","90,264","90,463","91,195"
326,Roswell,Georgia,"88,346","88,347","88,846","91,168"
327,Federal Way,Washington,"89,306","89,306","89,583","91,085"
328,Westminster,California,"89,701","89,701","89,920","91,064"
329,Lynn,Massachusetts,"90,329","90,329","90,493","91,040"
330,Orem,Utah,"88,328","88,328","88,892","90,727"
331,Santa Monica,California,"89,736","89,736","89,810","90,377"
332,Spokane Valley,Washington,"89,755","89,755","89,923","90,279"
333,Redding,California,"89,861","89,861","89,904","90,138"
334,Miami Beach,Florida,"87,779","87,779","88,012","89,840"
335,Waukegan,Illinois,"89,078","89,078","89,210","89,426"
336,Rio Rancho,New Mexico,"87,521","87,521","88,071","89,320"
337,Sandy,Utah,"87,461","87,540","87,846","89,200"
338,Santa Barbara,California,"88,410","88,409","88,565","89,045"
339,Fall River,Massachusetts,"88,857","88,857","88,897","88,962"
340,Lawrence,Kansas,"87,643","87,643","87,955","88,727"
341,Reading,Pennsylvania,"88,082","88,082","88,351","88,414"
342,Longmont,Colorado,"86,270","86,270","86,450","87,712"
343,Allen,Texas,"84,246","84,246","84,913","87,473"
344,Fort Smith,Arkansas,"86,209","86,209","86,284","87,152"
345,Nashua,New Hampshire,"86,494","86,494","86,549","86,704"
346,Plantation,Florida,"84,955","84,955","85,154","86,524"
347,Newport Beach,California,"85,186","85,186","85,397","86,484"
348,Norwalk,Connecticut,"85,603","85,603","85,746","86,460"
349,Chico,California,"86,187","86,187","86,187","86,290"
350,Duluth,Minnesota,"86,265","86,265","86,230","86,277"
351,San Leandro,California,"84,950","84,950","85,108","86,071"
352,Greenville,North Carolina,"84,554","84,562","84,856","86,017"
353,Sunrise,Florida,"84,439","84,439","84,636","85,995"
354,Newton,Massachusetts,"85,146","85,146","85,276","85,945"
355,Whittier,California,"85,331","85,331","85,402","85,943"
356,Boca Raton,Florida,"84,392","84,392","84,566","85,329"
357,Deltona,Florida,"85,182","85,182","85,191","85,219"
358,San Marcos,California,"83,781","83,781","84,052","85,022"
359,Suffolk,Virginia,"84,585","84,592","84,872","84,930"
360,Hawthorne,California,"84,293","84,293","84,364","84,905"
361,Trenton,New Jersey,"84,913","84,913","85,009","84,899"
362,League City,Texas,"83,560","83,560","83,961","84,856"
363,Asheville,North Carolina,"83,393","83,393","83,574","84,458"
364,Citrus Heights,California,"83,301","83,301","83,498","84,330"
365,Clifton,New Jersey,"84,136","84,136","84,201","84,269"
366,Tracy,California,"82,922","82,922","83,213","84,266"
367,Cicero town,Illinois,"83,891","83,891","83,979","84,261"
368,Bloomington,Minnesota,"82,893","82,893","83,013","84,057"
369,Ogden,Utah,"82,825","82,825","83,170","83,949"
370,Alhambra,California,"83,089","83,089","83,161","83,693"
371,Westland,Michigan,"84,094","84,094","83,847","83,239"
372,Sioux City,Iowa,"82,684","82,695","82,826","82,967"
373,Edmond,Oklahoma,"81,405","81,403","81,705","82,963"
374,Nampa,Idaho,"81,557","81,565","81,774","82,755"
375,Warwick,Rhode Island,"82,672","82,672","82,628","82,361"
376,Livermore,California,"80,968","80,968","81,121","82,039"
377,Hoover,Alabama,"81,619","81,619","81,704","82,003"
378,Bellingham,Washington,"80,885","80,885","81,069","81,862"
379,Buena Park,California,"80,530","80,524","80,721","81,747"
380,Sugar Land,Texas,"78,817","78,817","79,550","81,700"
381,Danbury,Connecticut,"80,893","80,893","81,023","81,671"
382,Carmel,Indiana,"79,191","79,191","79,734","81,564"
383,Troy,Michigan,"80,980","80,980","81,002","81,508"
384,Bloomington,Indiana,"80,405","80,407","80,675","81,381"
385,Longview,Texas,"80,455","80,455","80,572","81,336"
386,Champaign,Illinois,"81,055","81,055","81,168","81,291"
387,Parma,Ohio,"81,601","81,601","81,464","80,968"
388,Hammond,Indiana,"80,830","80,830","80,851","80,757"
389,Lakewood,California,"80,048","80,048","80,117","80,634"
390,Concord,North Carolina,"79,066","79,066","79,308","80,597"
